Interval;Power (W)
00:00;0
00:15;0
00:30;0
00:45;0
01:00;0
01:15;0
01:30;0
01:45;0
02:00;0
02:15;0
02:30;0
02:45;0
03:00;0
03:15;0
03:30;0
03:45;0
04:00;0
04:15;0
04:30;0
04:45;0
05:00;0
05:15;0
05:30;0
05:45;0
06:00;0
06:15;0
06:30;0
06:45;0
07:00;0
07:15;0
07:30;3.32
07:45;3.32
08:00;104.955
08:15;104.955
08:30;302.58
08:45;302.58
09:00;578.015
09:15;578.015
09:30;904.295
09:45;904.295
10:00;1209.095
10:15;1209.095
10:30;1441.37
10:45;1441.37
11:00;1608.47
11:15;1608.47
11:30;1675.64
11:45;1675.64
12:00;1463.55
12:15;1463.55
12:30;1553.53
12:45;1553.53
13:00;933.32
13:15;933.32
13:30;734.265
13:45;734.265
14:00;600.92
14:15;600.92
14:30;245.69
14:45;245.69
15:00;42.115
15:15;42.115
15:30;0
15:45;0
16:00;0
16:15;0
16:30;0
16:45;0
17:00;0
17:15;0
17:30;0
17:45;0
18:00;0
18:15;0
18:30;0
18:45;0
19:00;0
19:15;0
19:30;0
19:45;0
20:00;0
20:15;0
20:30;0
20:45;0
21:00;0
21:15;0
21:30;0
21:45;0
22:00;0
22:15;0
22:30;0
22:45;0
23:00;0
23:15;0
23:30;0
23:45;0